2026-05-08 22:34:59 | uvicorn.access | INFO | 127.0.0.1:51634 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:35:11 | uvicorn.access | INFO | 127.0.0.1:51728 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:35:20 | uvicorn.access | INFO | 127.0.0.1:51803 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:35:32 | uvicorn.access | INFO | 127.0.0.1:51838 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:35:42 | uvicorn.access | INFO | 127.0.0.1:51886 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:35:51 | uvicorn.access | INFO | 127.0.0.1:51934 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:36:05 | uvicorn.access | INFO | 127.0.0.1:51969 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 22:36:21 | uvicorn.access | INFO | 127.0.0.1:52024 - "POST /api/v1/chat HTTP/1.1" 200
2026-05-08 23:41:51 | uvicorn.error | INFO | Shutting down
2026-05-08 23:41:51 | uvicorn.error | INFO | Waiting for application shutdown.
2026-05-08 23:41:51 | uvicorn.error | INFO | Application shutdown complete.
2026-05-08 23:41:51 | uvicorn.error | INFO | Finished server process [73666]
